URL,HTTP_Status_Code,HTML_File_Size_KB,Download_Success,Error_Message,Error_Message_Parsing,Title_Tag,Title_Length,Meta_Description,Meta_Description_Length,H1_Tag,H1_Length,Total_Images,Missing_Alt_Images,Total_Links,Internal_Links,External_Links,Nofollow_Links,CSS_Files_Count,JS_Files_Count,Meta_Viewport_Exists,Canonical_Tag,Noindex_Tag_Exists,H2_Count,H3_Count,H4_Count,H5_Count,H6_Count,Visible_Text_Length
https://adresgezgini.com/,200,239.1767578125,True,Yok,Yok,AdresGezgini | Google Ads Reklam Premier Partner 444 0 964,58,"AdresGezgini, Google Ads Reklam, Facebook Reklam, Sponsor Bağlantı Reklam Yönetimi ve Kurumsal Çözümler, Profesyonel Destek İçin Bizi Arayın: 444-0-964",151,GOOGLE ADS PREMIER PARTNER,26,155,0,105,87,14,0,0,8,True,https://adresgezgini.com/,False,4,13,0,0,0,2668
https://adresgezgini.com/hakkimizda/biz-kimiz,200,242.3115234375,True,Yok,Yok,Biz Kimiz? | AdresGezgini - 444 0 964,37,"AdresGezgini, Google ve Facebook reklam konularında 2007'den beri 10.000'den fazla kurumsal firma ile müşteri memnuniyeti ve kalite odaklı çalışmaktadır.",153,BİZ KİMİZ?,10,132,0,96,78,14,0,0,9,True,https://adresgezgini.com/hakkimizda/biz-kimiz,False,3,4,0,0,0,9391
https://adresgezgini.com/en/about-us/who-we-are,200,238.8759765625,True,Yok,Yok,Who Are We | AdresGezgini - 444 0 964,37,"Do you know the Google Ads agency that the most specialists work, around Turkey and Middle East, is located in Izmir instead Europe, London, Paris, Berlin.",155,WHO WE ARE,10,132,83,90,72,14,0,0,9,True,https://adresgezgini.com/en/about-us/who-we-are,False,3,4,0,0,0,9232
https://adresgezgini.com/hakkimizda/ekibimiz,200,246.26171875,True,Yok,Yok,Ekibimiz | AdresGezgini - 444 0 964,35,"AdresGezgini Anonim Şirketi, günümüzde 400.000TL ödenmiş sermayesi, İzmir ve İstanbul’daki 50’den fazla uzman personeliyle Türkiye’nin en büyük bilişim firmalarından bir tanesidir.",180,Ekibimiz,8,185,0,148,123,13,0,0,9,True,https://adresgezgini.com/hakkimizda/ekibimiz,False,0,50,46,0,0,1832
https://adresgezgini.com/en/about-us/team,200,243.10546875,True,Yok,Yok,Our Team | AdresGezgini - 444 0 964,35,"AdresGezgini, Google Ads Reklam, Facebook Reklam, Sponsor Bağlantı Reklam Yönetimi ve Kurumsal Çözümler, Profesyonel Destek İçin Bizi Arayın: 444-0-964",151,Our Team,8,185,83,142,117,13,0,0,9,True,https://adresgezgini.com/en/about-us/team,False,0,50,46,0,0,1730
https://adresgezgini.com/referanslarimiz/basari-hikayeleri,200,232.806640625,True,Yok,Yok,Başarı Hikayeleri | AdresGezgini - 444 0 964,44,"AdresGezgini | Eğer hayatta başarılı olma konusunda gerçekten ciddiyseniz, o zaman hayatta başarılı olmuş insanların ilham veren hikayeleri ile kendinizi eğitmekten başka yapacak daha iyi bir şey yoktur.",203,Başarı Hikayeleri,17,158,0,105,88,13,0,0,8,True,https://adresgezgini.com/referanslarimiz/basari-hikayeleri,False,2,14,0,0,0,1357
https://adresgezgini.com/en/references/success-stories,200,229.947265625,True,Yok,Yok,Success Stories | AdresGezgini - 444 0 964,42,"AdresGezgini, Google Ads Reklam, Facebook Reklam, Sponsor Bağlantı Reklam Yönetimi ve Kurumsal Çözümler, Profesyonel Destek İçin Bizi Arayın: 444-0-964",151,Success Stories,15,158,83,99,82,13,0,0,8,True,https://adresgezgini.com/en/references/success-stories,False,2,14,0,0,0,1401
https://adresgezgini.com/egitim/egitimler,200,232.28125,True,Yok,Yok,Eğitimler | AdresGezgini - 444 0 964,36,SİZ DE EĞİTİMLERE KATILMAK İSTEMEZ MİSİNİZ? TEK YAPMANIZ GEREKEN BİZİMLE İLETİŞİME GEÇMEK.,90,Eğitimler,9,161,0,110,93,13,0,0,8,True,https://adresgezgini.com/egitim/egitimler,False,2,19,0,0,0,702
https://adresgezgini.com/en/education/trainings,200,229.73828125,True,Yok,Yok,Trainings | AdresGezgini - 444 0 964,36,"AdresGezgini, Google Ads Reklam, Facebook Reklam, Sponsor Bağlantı Reklam Yönetimi ve Kurumsal Çözümler, Profesyonel Destek İçin Bizi Arayın: 444-0-964",151,Trainings,9,161,83,104,87,13,0,0,8,True,https://adresgezgini.com/en/education/trainings,False,2,19,0,0,0,702
https://adresgezgini.com/egitim/etkinlik,200,233.3330078125,True,Yok,Yok,Etkinlikler | AdresGezgini - 444 0 964,38,SİZ DE ETKİNLİKLERİMİZE KATILMAK İSTEMEZ MİSİNİZ? TEK YAPMANIZ GEREKEN BİZİMLE İLETİŞİME GEÇMEK.,96,Etkinlikler,11,154,0,106,81,14,0,2,10,True,https://adresgezgini.com/egitim/etkinlik,False,3,7,0,0,0,720
https://adresgezgini.com/en/education/events,200,231.1923828125,True,Yok,Yok,Events | AdresGezgini - 444 0 964,33,"AdresGezgini, Google Ads Reklam, Facebook Reklam, Sponsor Bağlantı Reklam Yönetimi ve Kurumsal Çözümler, Profesyonel Destek İçin Bizi Arayın: 444-0-964",151,Events,6,159,87,101,75,15,0,2,10,True,https://adresgezgini.com/en/education/events,False,3,8,0,0,0,653
https://adresgezgini.com/hakkimizda/haberler/dalaman-da-internet-reklamciligi-egitimi,200,212.521484375,True,Yok,Yok,Dalaman’da İnternet Reklamcılığı | AdresGezgini - 444 0 964,59,"Dalaman ATM Airport tarafından düzenlenen internet reklamcılığı eğitiminde AdresGezgini Kurucu Ortağı Dr. Bora Mocan, Genel Müdürü Mahir Sümer ve",145,Haberler,8,57,0,104,87,13,0,0,8,True,https://adresgezgini.com/hakkimizda/haberler/dalaman-da-internet-reklamciligi-egitimi,False,4,12,0,0,0,3576
https://adresgezgini.com/hakkimizda/haberler/13-mukemmelligi-arayis-sempozyumu,200,210.7412109375,True,Yok,Yok,13. Mükemmelliği Arayış Sempozyumu | AdresGezgini - 444 0 964,61,Bu yıl 13-14 Haziran tarihleri arasında Swissôtel’de Kalder tarafından 13.’sü düzenlenen Mükemmelliği Arayış Sempozyumu’na AdresGezgini olarak,142,Haberler,8,57,0,104,87,13,0,0,8,True,https://adresgezgini.com/hakkimizda/haberler/13-mukemmelligi-arayis-sempozyumu,False,4,12,0,0,0,1963
https://adresgezgini.com/en/about-us/news/-1528096724,200,207.779296875,True,Yok,Yok,AdresGezgini | Google Ads Reklam Premier Partner 444 0 964,58,"AdresGezgini, Google Ads Reklam, Facebook Reklam, Sponsor Bağlantı Reklam Yönetimi ve Kurumsal Çözümler, Profesyonel Destek İçin Bizi Arayın: 444-0-964",151,News,4,57,0,98,81,13,0,0,8,True,https://adresgezgini.com/en/about-us/news/-1528096724,False,4,12,0,0,0,546
https://adresgezgini.com/hakkimizda/haberler/google-internet-reklamciligi-programi,200,209.916015625,True,Yok,Yok,Google İnternet Reklamcılığı Programı | AdresGezgini - 444 0 964,64,2012 yılının son Google eğitimi 27 Aralık'ta İstanbul Four Seasons Oteli'nde düzenlendi. Her Google eğitiminde olduğu gibi bu eğitimde de katılım,145,Haberler,8,57,0,104,87,13,0,0,8,True,https://adresgezgini.com/hakkimizda/haberler/google-internet-reklamciligi-programi,False,4,12,0,0,0,1210
https://adresgezgini.com/en/about-us/news/google-internet-advertising-program,200,208.2998046875,True,Yok,Yok,Google Internet Advertising Program | AdresGezgini - 444 0 964,62,"The last Google training of 2012 was held on 27 December at the Istanbul Four Seasons Hotel. As in every Google training, the participation rate in this",152,News,4,57,0,98,81,13,0,0,8,True,https://adresgezgini.com/en/about-us/news/google-internet-advertising-program,False,4,12,0,0,0,998
https://adresgezgini.com/hakkimizda/haberler/if-wedding-google-reklam-destekciyiz,200,209.640625,True,Yok,Yok,If Wedding Google Reklam Destekçiyiz | AdresGezgini - 444 0 964,63,15-18 Şubat 2012 tarihleri arasında düzenlenen Türk gelinlik sektörünün tek ihtisas fuarı ve Avrupa’nın üç büyük Fuarından biri olan IF Wedding,143,Haberler,8,57,0,104,87,13,0,0,8,True,https://adresgezgini.com/hakkimizda/haberler/if-wedding-google-reklam-destekciyiz,False,4,12,0,0,0,1047
